2017-07-19 18:02:20 INFO  Main : 10 : Blaster shooting
2017-07-19 18:15:32 INFO  Main : 12 : Blaster shooting Blaster rechargered now
2017-07-19 18:18:15 INFO  Main : 13 : Blaster shooting Blaster rechargered now Blaster shooting with grenade
2017-07-19 18:18:46 INFO  Main : 13 : Blaster shooting - Blaster rechargered now - Blaster shooting with grenade
2017-07-19 21:21:44 INFO  Main : 10 : Droid fighting now!!!
2017-07-19 21:21:44 INFO  Main : 11 : Droid repair transport droid
2017-07-19 21:21:44 INFO  Main : 12 : Droid transported objects!!!
2017-07-19 21:21:44 INFO  Main : 13 : Droid control situation!
2017-07-19 21:23:30 INFO  Main : 10 : Battle droid fighting now!!!
2017-07-19 21:23:30 INFO  Main : 11 : Repair droid repaired fight droid
2017-07-19 21:23:30 INFO  Main : 12 : Transport droid bring new equipment !
2017-07-19 21:23:30 INFO  Main : 13 : Command droid control situation!
2017-07-19 21:24:00 INFO  Main : 10 : Battle droid fighting now!
2017-07-19 21:24:00 INFO  Main : 11 : Repair droid repaired fight droid
2017-07-19 21:24:00 INFO  Main : 12 : Transport droid bring new equipment!
2017-07-19 21:24:00 INFO  Main : 13 : Command droid control situation!
2017-07-19 21:24:09 INFO  Main : 10 : Battle droid fighting now!
2017-07-19 21:24:09 INFO  Main : 11 : Repair droid repaired fight droid!
2017-07-19 21:24:09 INFO  Main : 12 : Transport droid bring new equipment!
2017-07-19 21:24:09 INFO  Main : 13 : Command droid control situation!
2017-07-19 22:43:48 INFO  Main : 12 : Droid{name='R2D2', health=150, armor=200}
2017-07-19 22:43:48 INFO  Main : 13 : Droid{name='R2D2', health=150, armor=200}
2017-07-19 22:44:07 INFO  Main : 12 : Droid{name='R2D2', health=150, armor=200}
2017-07-19 22:44:07 INFO  Main : 14 : Droid{name='R2D2', health=150, armor=50}
2017-07-19 23:11:09 INFO  Main : 12 : Droid{name='R2D2', health=150, armor=200}
2017-07-19 23:11:09 INFO  Main : 14 : Droid{name='R2D2', health=150, armor=50}
2017-07-19 23:12:34 INFO  Main : 11 : Droid{name='B2', weight=340, year=2015}
